id,word,definition,audio
2003,pîpi,"adj. dumb, mute; v. to wasg clothes",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PIPI_1.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUElQSV8xLm1wMyIsImlhdCI6MTc1NDgzMTI3NiwiZXhwIjoyMDcwMTkxMjc2fQ.fUfvuKrz1gkFWhtwND7ZSMN1Sv7hqa6aC3t8m8VprPA
2004,pipínu,n. cucumber,
2005,pipis,v. to roll dough for baking cookies,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PIPIS.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUElQSVMubXAzIiwiaWF0IjoxNzU0ODMxMzA4LCJleHAiOjIwNzAxOTEzMDh9.zV7W59Y0wass2KmvfMp0LoGJJv9qx2b5sWzktUb-93M
2006,pipitsúgin ,"adj. poor quality, poor class, easily deceived",
2007,pirásu,"n. a piece, a single part",
2008,piráyit,v. to deceive,
2009,píring,v. to blindfold,
2010,píris,n. a small caterpillar that causes itchiness on the skin,
2011,pirúyâ,n. a rake,
2012,pisak,n. darkness,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PISAC.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUElTQUMubXAzIiwiaWF0IjoxNzU0ODQ0Nzc1LCJleHAiOjIxMzMyNzY3NzV9.igOTqjqGxbDdAqwabQbxmXh-Exd69sNhcVx_7ct2jsw
2013,písan,n. cousin,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PISAN.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUElTQU4ubXAzIiwiaWF0IjoxNzU0ODMxMzI2LCJleHAiOjIwNzAxOTEzMjZ9.EB0NsoAYfoxX2DMUqdG8Vn6zCQvtrFF6ZUA3wWv5LO4
2014,písî ,"1. n. broken table plate; 2. n. twine, chinese thread",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PISI_1.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUElTSV8xLm1wMyIsImlhdCI6MTc1NDgzMTMzOCwiZXhwIjoyMDcwMTkxMzM4fQ.vOdBvFjQxCD4hyjtdWGItmwxPcVxObZwer3E40I0IH8
2015,pisig,v. to shake off water,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PISIG.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUElTSUcubXAzIiwiaWF0IjoxNzU0ODMxMzQ5LCJleHAiOjIwNzAxOTEzNDl9.ZK6yo4zLXipxVyrQMT7wIF3U8tZ2BSfi-JbXaYksKko
2016,pisik,v. to sprinkle water,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PISIC.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUElTSUMubXAzIiwiaWF0IjoxNzU0ODMxMzU3LCJleHAiOjIwNzAxOTEzNTd9.jXilc0mDRVRr160Ab_HwJ3APyemp9DnSEhVoxYaRK-I
2017,pisnî,n. the cheek,
2018,pispis,"v. to clean one's shoes before entering a door, or to dust furniture",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PISPIS.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUElTUElTLm1wMyIsImlhdCI6MTc1NDgzMTM2NywiZXhwIjoyMDcwMTkxMzY3fQ.ZOCav3qlUQ2tNLVK22t8hcaMjwqra1GxXuzcjIjyqk4
2019,pistu,[Fr] n. is a Kapampangan dish made from chorizo and usually served paired with bread as a meriendal,
2020,pitak,n. mud,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PITAC_2.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUElUQUNfMi5tcDMiLCJpYXQiOjE3NTQ4MzEzOTIsImV4cCI6MjA3MDE5MTM5Mn0.4yTQcwR9Uh_Pmdc5Jcj1ByCJbueBiQ9E9ns9tBSMowo
2021,pitaka,"[Nah] n. coin purse, wallet",
2022,pitaklan,n. anus,
2023,pitchi-pitchi,pitsi-pitsi n. steamed cake using cassava (Manihot esculenta Crantz) instead of glutinous rice,
2024,pitik,n. a sudden flick of the thumb in contact with the index finger.,
2025,pitityan,"1. n. crispy pork rind; syn. sitsarun; 2. n. lard, extracted oil from omentum",
2026,pitnâ,"v. to halve, or cut in half",
2027,pitpit,"v. to flatten, to tighten",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PITPIT.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUElUUElULm1wMyIsImlhdCI6MTc1NDgzMTQzMCwiZXhwIjoyMDcwMTkxNDMwfQ.SAL5lqvB8sFG24q_I_UL5M-sqf4m1qGIv1z5kIB4wTI
2028,pitse,"(Brassica rapa, subspecie chinensis) n. Chinese cabbage; petsay in Tagalog",
2029,pitsu,[Sp] n. chicken breast,
2030,pitú,n. adj. seven; the number 7; Syn [Sp] sieti var. syeti,
2031,pituklip ,n. a type of kalame or native bibingka,
2032,pitu-pitu,"n. a concoction of 7 herbs, pandan, banaba, mango, guava etc....",
2033,piunyaban,n. rice washing; also called sabo abyas,
2034,piyun,n. apprentice or unskilled laborer,
2035,pláisdan,n. fish pond,
2036,pláka,"n. phonograph record, or plate number for a vehicle",
2037,plákda,"[slang] adj. haggard, dead tired",
2038,plaké,n. a plaque given as a form of recognition to a person,
2039,planta,n. a building for assembly to manufacture or an electric plant,
2040,plastá,v. to flatten or smooth,
2041,platitu,var. palatitu n. saucer; Cf silyo; Compare with silyo,
2042,poéma,n. poem,
2043,poésiya,n. poetry,
2044,poéta laureádo,"n. poet laureate, an eminent poet, awarded with a golden crown",
2045,poéta,n. poet,
2046,Porac,n. a town in Pampanga,
2047,pospas,"n. chicken porridge; see lelut, lugao",
2048,póste,n. a post or pillar,
2049,póstré,var. póstrín. dessert with a light syrup,
2050,posu,negru [Sp] n. septic tank; holding tank,
2051,póta,"adv. afterwards, later; cf. pinandit",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/POTA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUE9UQS5tcDMiLCJpYXQiOjE3NTQ4MzE0NDYsImV4cCI6MjA3MDE5MTQ0Nn0._duL3u9SHXYDy4wN59w1P2Za374WvnauRhnw4TcdT3I
2052,pótru,n. [Sp] an animal male stud usually four legged,
2053,pritil,n. [Sp] water gate for irrigating water or spring,
2054,pû,intj. a word of honor meaning yes sir (short for ópû),https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PO.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUE8ubXAzIiwiaWF0IjoxNzU0ODMxNDU3LCJleHAiOjIwNzAxOTE0NTd9.VnA2RvKyati1eeH7rx5NDGXYClCIDWcT-0m1kNP-vFE
2055,puapu,see padwas,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PUAPO.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVBUE8ubXAzIiwiaWF0IjoxNzU0ODMxNDY1LCJleHAiOjIwNzAxOTE0NjV9._0SMffNGLJ5Vgfau5SMXo0jiUg55_icfGWBOyBAjXIk
2056,puga,n. fish roe,
2057,púge,"1. v. to show courtesy (pupugayan da kayu), 2. n. salute",
2058,pugit,n. last in a race,
2059,pugíta ,"n. octopus, cuttlefish",
2060,pugu,"1. n. a quail; 2. (Coturnix chinensis chinensis) n. Asian Blue Quail, Chinese Painted Quail, King Quail or Blue-breasted Quail of the order Galliformes, gallinaceous birds.",
2061,púgung,v. to tie the corners of a handkerchief,
2062,púkat,n. stickiness,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PUCAT.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVDQVQubXAzIiwiaWF0IjoxNzU0ODMxNDcyLCJleHAiOjIwNzAxOTE0NzJ9.bvJoY28z4GWvW5y8-GjWX5CRtYUwC6cJ5u5_dv6xKCw
2063,pukendang,"1. n. pussy; 2. n. Blue Pea, Clitoria ternatea Linn.; also called sampagang pukendang",
2064,púki,"n. vagina, or female sex organ",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PUQUI.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVRVUkubXAzIiwiaWF0IjoxNzU0ODQ0ODQ2LCJleHAiOjIxMzMyNzY4NDZ9.fH-kvGXyQfUFEaLxnhAOVibUxEl3NTvR4h9TU5RVXqM
2065,pukpuk,1. v. to beat with a hammer; 2. traditional hammered metlal art using thin copper or tin sheets; syn. pinukpuk; cf. pande,
2066,puksâ,"v. cornered in a battle, killed in battle",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PUCSA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVDU0EubXAzIiwiaWF0IjoxNzU0ODMxNTA5LCJleHAiOjIxMzMyNjM1MDl9.2aXCRPMoFPi10dQFPmlnb5yKH9dk1m4Bxu6AuXRakVY
2067,púkul,v. to throw a hard object,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PUCUL.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVDVUwubXAzIiwiaWF0IjoxNzU0ODMxNTE1LCJleHAiOjIxMzMyNjM1MTV9.2jrR0lI0w2ZLiRJROY0IVTiD2ATnopS_RJEuTHO60Dg
2068,pukyútan,"see pukiyútan; cf. putakti, tamumu",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PUCQUIUTAN.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVDUVVJVVRBTi5tcDMiLCJpYXQiOjE3NTQ4MzE1MjEsImV4cCI6MjEzMzI2MzUyMX0.eoAYQ-77O1iBwJlw6p2opvLsjs9cYQFd5i0gZWcGz7g
2069,pulandit,"v. to scurry away, see pulayi ",
2070,pulayî,v. to run in a race; see pulandit,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PULAYI.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVMQVlJLm1wMyIsImlhdCI6MTc1NDgzMTUyOSwiZXhwIjoyMTMzMjYzNTI5fQ.uIh7VXnBcZ_HrwhnJYU3q0a_KVSbSfre0PjSdiB4WUY
2071,pulgas,n. a flea; syn. garapata,
2072,pulî,"v. to inherit a trait of an ancestor, see mana",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PULI.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVMSS5tcDMiLCJpYXQiOjE3NTQ4MzE1MzcsImV4cCI6MjEzMzI2MzUzN30.wx-ArG3GiOXgcHGCI5eOabdR3Ghz7jULSeMQRkp3K4E
2073,púling,n. a mote or dirt on the eye ,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PULING.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVMSU5HLm1wMyIsImlhdCI6MTc1NDgzMTU0OCwiZXhwIjoyMTMzMjYzNTQ4fQ.IzpLsFY-hhrE1ALb-RC9Xb7K7ANpf1Pi18KYxzJztBo
2074,pulósa ,"1 n. [Sp] phrase or incomplete sentence; 2 [Sp] spontaneous kind of folksong, a ballad sung in rhyme with a guitar accompaniment; cf. basultu",
2075,pulû,n. a forest; syn kakewan; cf. gubat; ,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PULU_2.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVMVV8yLm1wMyIsImlhdCI6MTc1NDgzMTY2NSwiZXhwIjoyMTMzMjYzNjY1fQ.pdf0n7rcL6NP9AZ7Kb-uNZjW8d2rRPqA74svdpMTsVc
2076,púlu,"n. the wooden handle of a bolo; cf. takas, kaluban",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PULU_1.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVMVV8xLm1wMyIsImlhdCI6MTc1NDgzMTY1MiwiZXhwIjoyMTMzMjYzNjUyfQ.kB3inHe14_hfvvMTfgL3oDHP0hFukgbKaae7ZtfbpkA
2077,púlung,n. a gathering or meeting,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PULUNG.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVMVU5HLm1wMyIsImlhdCI6MTc1NDgzMTY3MiwiZXhwIjoyMTMzMjYzNjcyfQ.1jaLlStDsz4ARX-BT37_WicDxC9YyqOfrWrTlOM9QMc
2078,pulunggus ,adj. wrapped around in a cloth,
2079,pulupúlu,n. the crown of the hair usually on the top forming a spiral of hair,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PULUPULU.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVMVVBVTFUubXAzIiwiaWF0IjoxNzU0ODMxNjgwLCJleHAiOjIxMzMyNjM2ODB9.tt9NZY6B_QlI0x2ziadDEYZcVl68deA2Hp6NWRy-nc0
2080,púlus,"var. púrus adj. pure, no mixture ",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PULUS.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVMVVMubXAzIiwiaWF0IjoxNzU0ODMxNjg3LCJleHAiOjIxMzMyNjM2ODd9.FvJBoTIUxNVk9RQmPmOQZIAlnAfFvf0_wg_IBcWgN_8
2081,pulut,n. honey; see pukyutan; syn. pulut pukyutan; ,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PULUT_2.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVMVVRfMi5tcDMiLCJpYXQiOjE3NTQ4MzE3NzAsImV4cCI6MjEzMzI2Mzc3MH0.oUWVs_ppANb-tegSyGP-iBjvIlmML3RKiT0rp4JERpw
2082,púlut,"v. to pick up a discarded object, see daklut",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PULUT_1.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVMVVRfMS5tcDMiLCJpYXQiOjE3NTQ4MzE3NjIsImV4cCI6MjEzMzI2Mzc2Mn0.QFVLFutId30XrO-bYggud2U-A11ippKVbz-ZoNViOLA
2083,pulutuk,n. sauteed minced lung of pork or beef; syn. [Sp] bopis,
2084,pun,n. the superior or head of a group; syn pamuntuk; see datu,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PUN.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVOLm1wMyIsImlhdCI6MTc1NDgzMTc4MywiZXhwIjoyMTMzMjYzNzgzfQ.vqUhnR38aZOvaqt2W2K-gsSSLjmlFETTPT1wlxfS7h0
2085,punâ,"v. to notice, criticism",
2086,punda,"n. pillowcase; see ulun, ulunan, ulas",
2087,pungapung,see apungapung,
2088,pungguk,adj. dwarfish or small in stature; cf. unanu,
2089,pungkul,v. to hit the head against a concrete wall,
2090,pungpung,"1. v. to reprimand, to chastise; 2. adj. decayed tooth enamel",
2091,pungsû,n. a termite house,
2092,pungul,"n. an infant, or newborn baby, syn. bingut",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PUNGCUL.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVOR0NVTC5tcDMiLCJpYXQiOjE3NTQ4MzE3ODksImV4cCI6MjEzMzI2Mzc4OX0.YKpQTGWQ4FDt4qJTjXFVfQawPD_9vKrZxEDooBUIOXM
2093,pungus,n. cropped ear; see urud,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PUNGUS.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVOR1VTLm1wMyIsImlhdCI6MTc1NDgzMTc5OSwiZXhwIjoyMTMzMjYzNzk5fQ.EWIrDzAFiVxwe3r3KrMQhm-SutS_tjbpQHG6gK6gzOY
2094,punî,n. marathon singing of the passion of Christ,
2095,punlâ,n. seedlings to be replanted; see bini,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PUNLA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVOTEEubXAzIiwiaWF0IjoxNzU0ODMxODA3LCJleHAiOjIxMzMyNjM4MDd9.qBIWZzgppMdlxtd3YUE_SPHjX--nqDvs_2l43nNATsw
2096,punta,n. the far end; cf. sepu,
2097,puntas,[Sp] n. lace or raffles on a collar or skirt,
2098,puntetas,"[Sp] n. the rays of the lantern; see parul, tambor, palimbun, siku-siku",
2099,puntî,v. to break off,
2100,puntu,"n. an exact point in time, or a dot, or period, or accent in a word",
2101,puntuk,"1. v. to carry a basket on top of the head; 2. diacritical mark, orthographical",
2102,punyus,n. the cuff of a shirt,
2103,púpud,"1. n. a residue of a burned object like cigarette or cigar, 2. adj. worn out",
2104,púpul,n. harvest; syn. palut,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PUPUL_1.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVQVUxfMS5tcDMiLCJpYXQiOjE3NTQ4MzE4NDMsImV4cCI6MjEzMzI2Mzg0M30.WxsNchPoHKrDYbF6OlksYLokN6j5S0XkaB8jqPl_kSc
2105,púpus,"adj. completely ended; mapupus, end of the month",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PUPUS.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVQVVMubXAzIiwiaWF0IjoxNzU0ODMxODUxLCJleHAiOjIxMzMyNjM4NTF9.niZJ7IOSdG4htzYLYPM0i4HKHbrOlEEVGCQBuUUNaDA
2106,puput,"adj. suffocated, restrained breath",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PUPUT.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVQVVQubXAzIiwiaWF0IjoxNzU0ODMxODU4LCJleHAiOjIxMzMyNjM4NTh9.OSTs2HyR-OzOvdeheyvmJyfgDSOZySusoPh5HAHZrzI
2107,Pura,n. a town in the province of Tarlac,
2108,púrak,"n. a king of tree with flowers, a town named after the tree; var. purag, kurag",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/P/PURAC.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1AvUFVSQUMubXAzIiwiaWF0IjoxNzU0ODMxODY2LCJleHAiOjIxMzMyNjM4NjZ9.tRh2063w8nXT7Wy4a8FuaTx0wKRkgCmW_-RY8IVWXJc
2109,purga,1. n. laxative medicine; 2. deworming,
